"ID"	"n"	"zona"	"zondesc"	"area1"	"area2"	"area3"	"area4"	"fixa1"	"ordenT1"	"sumFixa1"	"fixa2"	"ordenT2"	"sumFixa2"	"fixa3"	"ordenT3"	"sumFixa3"	"fixa4"	"ordenT4"	"sumFixa4"	"CalTarea1"	"CalTarea2"	"CalTarea3"	"CalTarea4"	"fecha"	"duracion"	"Task1"	"Task2"	"Task3"	"Task4"	"secExplora"	"secBusca"	"secCompra"	"secPostC"	"secZapa"	"secTele"	"secBoli"	"secHd"	"CompraZapatillas"	"CompraTeléfonos"	"CompraBolígrafos"	"CompraHD"	"FreqZapatillas"	"FreqTeléfonos"	"FreqBolígrafos"	"FreqHD"	"CompraOnlineZapatillas"	"CompraOnlineTeléfonos"	"CompraOnlineBolígrafos"	"CompraOnlineHD"	"FreqOnlineZapatillas"	"FreqOnlineTeléfonos"	"FreqOnlineBolígrafos"	"FreqOnlineHD"	"FreqOnlineZapatillas.1"	"FreqOnlineTeléfonos.1"	"FreqOnlineBolígrafos.1"	"FreqOnlineHD.1"	"ConoZapatillas"	"ConoTelefonos"	"Conobolis"	"ConoHDs"	"impliZapatillas"	"impliTelefonos"	"implibolis"	"impliHDs"	"interZapatillas"	"interTelefonos"	"interbolis"	"interHDs"	"precioZapatillas"	"marcaZapatillas"	"pagoZapatillas"	"devolZapatillas"	"envioZapatillas"	"seguiZapatillas"	"precioTelefonos"	"marcaTelefonos"	"pagoTelefonos"	"devolTelefonos"	"envioTelefonos"	"seguiTelefonos"	"preciobolis"	"marcabolis"	"pagobolis"	"devolbolis"	"enviobolis"	"seguibolis"	"precioHDs"	"marcaHDs"	"pagoHDs"	"devolHDs"	"envioHDs"	"seguiHDs"	"BuscaOnline"	"CompraOnline"	"Sexo"	"Edad"	"Educación"	"Ocupación.Principal"	"FixExplora"	"FixSearch"	"FixCompra"	"FixPost"	"TFixExplora"	"TFixSearch"	"TFixCompra"	"TFixPost"	"OrdenExplora"	"OrdenSearch"	"OrdenCompra"	"OrdenPost"
"R_0dB87jWk6mjl5gB"	1	22	"sel22"	28648.2573524698	26148.0458017088	28648.2573524698	26148.0458017088	1	"11"	56	1	"44"	9	1	"2"	20	1	"32"	14	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	1	1	1	1	56	14	9	20	2	11	20	6
"R_0dB87jWk6mjl5gB"	1	43	"sel43"	9660.94518017598	9660.94518017598	9660.94518017598	9660.94518017598	NA	NA	NA	1	"113"	9	1	"64"	5	1	"68"	1	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	NA	1	1	1	NA	1	9	5	NA	21	5	17
"R_0dB87jWk6mjl5gB"	1	51	"sel51"	8280.81015443652	12710.5493238277	8280.81015443652	8280.81015443652	1	"60"	1	1	"32"	13	5	"10"	15	1	"5"	2	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	1	1	1	5	1	2	13	15	20	18	17	2
"R_0dB87jWk6mjl5gB"	1	13	"sel13"	9660.94518017596	8305.90351854088	9660.94518017596	8305.90351854088	1	"3"	2	1	"41"	6	1	"13"	1	1	"16"	11	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	1	1	1	1	2	11	6	1	13	4	18	5
"R_0dB87jWk6mjl5gB"	1	42	"sel42"	28648.2573524698	28648.2573524698	28648.2573524698	28648.2573524698	NA	NA	NA	9	"24"	15	1	"65"	22	1	"65"	9	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	NA	1	9	1	NA	9	15	22	NA	20	14	18
"R_0dB87jWk6mjl5gB"	1	3	"zona3"	31075.3125	31075.3125	31075.3125	31075.3125	2	"35"	17	1	"131"	1	NA	NA	NA	NA	NA	NA	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	2	NA	1	NA	17	NA	1	NA	16	NA	8	NA
"R_0dB87jWk6mjl5gB"	1	21	"sel21"	8280.81015443653	12710.5493238277	8280.81015443653	12710.5493238277	1	"57"	3	1	"18"	20	1	"79"	16	5	"46"	19	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	1	5	1	1	3	19	20	16	19	17	10	20
"R_0dB87jWk6mjl5gB"	1	52	"sel52"	28648.2573524698	26148.0458017088	28648.2573524698	28648.2573524698	1	"29"	22	11	"31"	19	1	"9"	4	2	"6"	10	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	1	2	11	1	22	10	19	4	12	19	16	23
"R_0dB87jWk6mjl5gB"	1	53	"sel53"	9660.94518017596	8305.90351854085	9660.94518017596	9660.94518017596	1	"28"	3	2	"43"	11	NA	NA	NA	5	"9"	9	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	1	5	2	NA	3	9	11	NA	11	26	19	NA
"R_0dB87jWk6mjl5gB"	1	12	"sel12"	28648.2573524698	26148.0458017088	28648.2573524698	26148.0458017088	10	"2"	31	8	"2"	28	1	"88"	14	1	"1"	9	1	1	1	1	"2018-05-10 09:26:57"	1049	"explor"	"purchase"	"post"	"search"	14.036	11.074	16.684	10.693	14.036	16.684	10.693	11.074	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	3	2	6	5	4	4	5	5	5	4	5	3	4	5	4	3	6	4	5	3	4	3	3	2	1	2	1	1	5	4	5	6	5	4	8	8	"Hombre"	24	"Estudios universitarios"	"Estudiante"	10	1	8	1	31	9	28	14	6	1	13	22
